Survived,Pclass,Age,Fare,FamilySize,Sex_male,Embarked_Q,Embarked_S
0,3,22.0,3.625,2,True,False,True
1,1,38.0,35.64165,2,False,False,False
1,3,26.0,7.925,1,False,False,True
1,1,35.0,26.55,2,False,False,True
0,3,35.0,8.05,1,True,False,True
0,1,54.0,51.8625,1,True,False,True
0,3,2.0,4.215,5,True,False,True
1,3,27.0,3.7111,3,False,False,True
1,2,14.0,15.0354,2,False,False,False
1,3,4.0,5.566666666666666,3,False,False,True
1,1,58.0,26.55,1,False,False,True
0,3,20.0,8.05,1,True,False,True
0,3,39.0,4.4678571428571425,7,True,False,True
0,3,14.0,7.8542,1,False,False,True
1,2,55.0,16.0,1,False,False,True
0,3,2.0,4.854166666666667,6,True,True,False
0,3,31.0,9.0,2,False,False,True
0,2,35.0,26.0,1,True,False,True
1,2,34.0,13.0,1,True,False,True
1,3,15.0,8.0292,1,False,True,False
1,1,28.0,35.5,1,True,False,True
0,3,8.0,4.215,5,False,False,True
1,3,38.0,4.483928571428572,7,False,False,True
0,1,19.0,43.833333333333336,6,True,False,True
0,1,40.0,27.7208,1,True,False,False
0,2,66.0,10.5,1,True,False,True
0,1,28.0,41.0854,2,True,False,False
0,1,42.0,26.0,2,True,False,True
0,3,21.0,8.05,1,True,False,True
0,3,18.0,6.0,3,False,False,True
1,3,14.0,5.62085,2,False,False,False
0,3,40.0,4.7375,2,False,False,True
0,2,27.0,10.5,2,False,False,True
1,2,3.0,10.3948,4,False,False,False
1,3,19.0,7.8792,1,False,True,False
0,3,18.0,8.9,2,False,False,True
0,3,7.0,6.614583333333333,6,True,False,True
0,3,21.0,7.8,1,True,False,True
1,1,49.0,38.3646,2,False,False,False
1,2,29.0,13.0,2,False,False,True
0,1,65.0,30.9896,2,True,False,False
1,2,21.0,10.5,1,False,False,True
0,3,28.5,7.2292,1,True,False,False
1,2,5.0,6.9375,4,False,False,True
0,3,11.0,5.8625,8,True,False,True
0,3,22.0,7.2292,1,True,False,False
0,1,45.0,41.7375,2,True,False,True
0,3,4.0,4.6499999999999995,6,True,False,True
1,2,29.0,10.5,1,False,False,True
0,3,19.0,8.1583,1,True,False,True
1,3,17.0,1.1321428571428571,7,False,False,True
0,3,26.0,2.8874999999999997,3,True,False,True
0,2,32.0,10.5,1,True,False,True
0,3,16.0,5.8625,8,False,False,True
0,2,21.0,73.5,1,True,False,True
0,3,26.0,7.2271,2,True,False,False
1,3,32.0,56.4958,1,True,False,True
0,3,25.0,7.65,1,True,False,True
1,2,0.83,9.666666666666666,3,True,False,True
1,3,30.0,12.475,1,False,False,True
0,3,22.0,9.0,1,True,False,True
1,3,29.0,9.5,1,True,False,True
